SECCODE,TIME,OPEN,CLOSE,LOW,HIGH,VOLUME,CHANGE
SBERP,104311,54,54,54,54,8000,0
SBERP,104313,54,54,54,54,8600,0
SBERP,104315,54,54,54,54,1000,0
SBERP,104316,54,54,54,54,1200,0
SBERP,104323,54,54,54,54,1600,0
SBERP,104329,54,54,54,54,2000,0
SBERP,104330,54,54,54,54,400,0
SBERP,104337,54,54,54,54,500,0
SBERP,104338,54,54,54,54,15000,0
SBERP,104339,54,54,54,54,2500,0
SBERP,104343,54,54,54,54,5000,0
SBERP,104347,54,54.02,54,54.02,32800,0.037
SBERP,104400,54.01,53.99,53.99,54.01,19800,-0.037
SBERP,104402,53.96,53.96,53.96,53.96,700,0
SBERP,104409,53.96,53.96,53.96,53.96,300,0
SBERP,104411,53.94,53.94,53.94,53.94,100,0
SBERP,104412,53.92,53.92,53.92,53.92,1200,0
SBERP,104414,53.92,53.92,53.92,53.92,300,0
SBERP,104415,53.92,53.92,53.92,53.92,8000,0
SBERP,104425,53.95,53.93,53.93,53.96,10300,-0.037
